YEAR,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_COUNTY_DESC,BENE_FIPS_CD,TOT_BENES
2020,AL,Alabama,Autauga,01001,11251
2020,AL,Alabama,Baldwin,01003,55766
2020,AL,Alabama,Barbour,01005,6192
2020,AL,Alabama,Bibb,01007,4736
2020,AL,Alabama,Blount,01009,13184
2020,AL,Alabama,Bullock,01011,2296
2020,AL,Alabama,Butler,01013,4966
2020,AL,Alabama,Calhoun,01015,26999
2020,AL,Alabama,Chambers,01017,8833
2020,AL,Alabama,Cherokee,01019,7364
2020,AL,Alabama,Chilton,01021,9668
2020,AL,Alabama,Choctaw,01023,3820
2020,AL,Alabama,Clarke,01025,6423
2020,AL,Alabama,Clay,01027,3680
2020,AL,Alabama,Cleburne,01029,3542
2020,AL,Alabama,Coffee,01031,10924
2020,AL,Alabama,Colbert,01033,14156
2020,AL,Alabama,Conecuh,01035,3551
2020,AL,Alabama,Coosa,01037,3113
2020,AL,Alabama,Covington,01039,9958
2020,AL,Alabama,Crenshaw,01041,3415
2020,AL,Alabama,Cullman,01043,20114
2020,AL,Alabama,Dale,01045,10826
2020,AL,Alabama,Dallas,01047,9740
2020,AL,Alabama,DeKalb,01049,15517
2020,AL,Alabama,Elmore,01051,17512
2020,AL,Alabama,Escambia,01053,8834
2020,AL,Alabama,Etowah,01055,26233
2020,AL,Alabama,Fayette,01057,4613
2020,AL,Alabama,Franklin,01059,6772
2020,AL,Alabama,Geneva,01061,6950
2020,AL,Alabama,Greene,01063,2311
2020,AL,Alabama,Hale,01065,4011
2020,AL,Alabama,Henry,01067,4863
2020,AL,Alabama,Houston,01069,24392
2020,AL,Alabama,Jackson,01071,13318
2020,AL,Alabama,Jefferson,01073,132496
2020,AL,Alabama,Lamar,01075,3857
2020,AL,Alabama,Lauderdale,01077,22441
2020,AL,Alabama,Lawrence,01079,8030
2020,AL,Alabama,Lee,01081,25301
2020,AL,Alabama,Limestone,01083,18641
2020,AL,Alabama,Lowndes,01085,2925
2020,AL,Alabama,Macon,01087,4624
2020,AL,Alabama,Madison,01089,67832
2020,AL,Alabama,Marengo,01091,5429
2020,AL,Alabama,Marion,01093,7452
2020,AL,Alabama,Marshall,01095,20870
2020,AL,Alabama,Mobile,01097,85212
2020,AL,Alabama,Monroe,01099,5324
2020,AL,Alabama,Montgomery,01101,43728
2020,AL,Alabama,Morgan,01103,26371
2020,AL,Alabama,Perry,01105,2618
2020,AL,Alabama,Pickens,01107,4985
2020,AL,Alabama,Pike,01109,6500
2020,AL,Alabama,Randolph,01111,5914
2020,AL,Alabama,Russell,01113,11465
2020,AL,Alabama,Shelby,01117,38904
2020,AL,Alabama,"St. Clair",01115,19295
2020,AL,Alabama,Sumter,01119,3165
2020,AL,Alabama,Talladega,01121,19830
2020,AL,Alabama,Tallapoosa,01123,11483
2020,AL,Alabama,Tuscaloosa,01125,36961
2020,AL,Alabama,Walker,01127,17537
2020,AL,Alabama,Washington,01129,4234
2020,AL,Alabama,Wilcox,01131,3166
2020,AL,Alabama,Winston,01133,6134
2020,AL,Alabama,Unknown,01999,*
2020,AK,Alaska,"Aleutians East",02013,165
2020,AK,Alaska,"Aleutians West",02016,235
2020,AK,Alaska,Anchorage,02020,40023
2020,AK,Alaska,Bethel,02050,1536
2020,AK,Alaska,"Bristol Bay",02060,157
2020,AK,Alaska,Chugach,02063,881
2020,AK,Alaska,"Copper River",02066,584
2020,AK,Alaska,Denali,02068,274
2020,AK,Alaska,Dillingham,02070,529
2020,AK,Alaska,"Fairbanks North Star",02090,11981
2020,AK,Alaska,Haines,02100,627
2020,AK,Alaska,Hoonah-Angoon,02105,519
2020,AK,Alaska,Juneau,02110,5288
2020,AK,Alaska,"Kenai Peninsula",02122,12430
2020,AK,Alaska,"Ketchikan Gateway",02130,2572
2020,AK,Alaska,"Kodiak Island",02150,1731
2020,AK,Alaska,Kusilvak,02158,569
2020,AK,Alaska,"Lake and Peninsula",02164,161
2020,AK,Alaska,Matanuska-Susitna,02170,15614
2020,AK,Alaska,Nome,02180,904
2020,AK,Alaska,"North Slope",02185,548
2020,AK,Alaska,"Northwest Arctic",02188,586
2020,AK,Alaska,Petersburg,02195,846
2020,AK,Alaska,"Prince of Wales-Hyder",02198,1059
2020,AK,Alaska,Sitka,02220,1497
2020,AK,Alaska,Skagway,02230,194
2020,AK,Alaska,"Southeast Fairbanks",02240,1347
2020,AK,Alaska,Wrangell,02275,545
2020,AK,Alaska,Yakutat,02282,114
2020,AK,Alaska,Yukon-Koyukuk,02290,937
2020,AK,Alaska,Unknown,02999,*
2020,AZ,Arizona,Apache,04001,13325
2020,AZ,Arizona,Cochise,04003,33478
2020,AZ,Arizona,Coconino,04005,21323
2020,AZ,Arizona,Gila,04007,17200
2020,AZ,Arizona,Graham,04009,5938
2020,AZ,Arizona,Greenlee,04011,1301
2020,AZ,Arizona,"La Paz",04012,5919
2020,AZ,Arizona,Maricopa,04013,722910
2020,AZ,Arizona,Mohave,04015,68868
2020,AZ,Arizona,Navajo,04017,24721
2020,AZ,Arizona,Pima,04019,236500
2020,AZ,Arizona,Pinal,04021,85209
2020,AZ,Arizona,"Santa Cruz",04023,10200
2020,AZ,Arizona,Yavapai,04025,85246
2020,AZ,Arizona,Yuma,04027,37936
2020,AZ,Arizona,Unknown,04999,*
2020,AR,Arkansas,Arkansas,05001,4220
2020,AR,Arkansas,Ashley,05003,5192
2020,AR,Arkansas,Baxter,05005,15271
2020,AR,Arkansas,Benton,05007,44534
2020,AR,Arkansas,Boone,05009,10342
2020,AR,Arkansas,Bradley,05011,2542
2020,AR,Arkansas,Calhoun,05013,1188
2020,AR,Arkansas,Carroll,05015,7585
2020,AR,Arkansas,Chicot,05017,2647
2020,AR,Arkansas,Clark,05019,4639
2020,AR,Arkansas,Clay,05021,4005
2020,AR,Arkansas,Cleburne,05023,8191
2020,AR,Arkansas,Cleveland,05025,1984
2020,AR,Arkansas,Columbia,05027,5171
2020,AR,Arkansas,Conway,05029,5169
2020,AR,Arkansas,Craighead,05031,19082
2020,AR,Arkansas,Crawford,05033,13982
2020,AR,Arkansas,Crittenden,05035,9247
2020,AR,Arkansas,Cross,05037,3975
2020,AR,Arkansas,Dallas,05039,1898
2020,AR,Arkansas,Desha,05041,2787
2020,AR,Arkansas,Drew,05043,3833
2020,AR,Arkansas,Faulkner,05045,20531
2020,AR,Arkansas,Franklin,05047,4341
2020,AR,Arkansas,Fulton,05049,3691
2020,AR,Arkansas,Garland,05051,28963
2020,AR,Arkansas,Grant,05053,3977
2020,AR,Arkansas,Greene,05055,9642
2020,AR,Arkansas,Hempstead,05057,4666
2020,AR,Arkansas,"Hot Spring",05059,7944
2020,AR,Arkansas,Howard,05061,3045
2020,AR,Arkansas,Independence,05063,8750
2020,AR,Arkansas,Izard,05065,4136
2020,AR,Arkansas,Jackson,05067,3810
2020,AR,Arkansas,Jefferson,05069,15420
2020,AR,Arkansas,Johnson,05071,5852
2020,AR,Arkansas,Lafayette,05073,1819
2020,AR,Arkansas,Lawrence,05075,4304
2020,AR,Arkansas,Lee,05077,2017
2020,AR,Arkansas,Lincoln,05079,2423
2020,AR,Arkansas,"Little River",05081,3157
2020,AR,Arkansas,Logan,05083,5742
2020,AR,Arkansas,Lonoke,05085,13596
2020,AR,Arkansas,Madison,05087,4104
2020,AR,Arkansas,Marion,05089,5421
2020,AR,Arkansas,Miller,05091,8889
2020,AR,Arkansas,Mississippi,05093,8370
2020,AR,Arkansas,Monroe,05095,1979
2020,AR,Arkansas,Montgomery,05097,2659
2020,AR,Arkansas,Nevada,05099,2178
2020,AR,Arkansas,Newton,05101,2305
2020,AR,Arkansas,Ouachita,05103,6219
2020,AR,Arkansas,Perry,05105,2640
2020,AR,Arkansas,Phillips,05107,4248
2020,AR,Arkansas,Pike,05109,2806
2020,AR,Arkansas,Poinsett,05111,5763
2020,AR,Arkansas,Polk,05113,5454
2020,AR,Arkansas,Pope,05115,13016
2020,AR,Arkansas,Prairie,05117,2204
2020,AR,Arkansas,Pulaski,05119,78715
2020,AR,Arkansas,Randolph,05121,4557
2020,AR,Arkansas,Saline,05125,26778
2020,AR,Arkansas,Scott,05127,2605
2020,AR,Arkansas,Searcy,05129,2543
2020,AR,Arkansas,Sebastian,05131,26686
2020,AR,Arkansas,Sevier,05133,2965
2020,AR,Arkansas,Sharp,05135,5808
2020,AR,Arkansas,"St. Francis",05123,4924
2020,AR,Arkansas,Stone,05137,4224
2020,AR,Arkansas,Union,05139,9534
2020,AR,Arkansas,"Van Buren",05141,5215
2020,AR,Arkansas,Washington,05143,35408
2020,AR,Arkansas,White,05145,16850
2020,AR,Arkansas,Woodruff,05147,1812
2020,AR,Arkansas,Yell,05149,4733
2020,AR,Arkansas,Unknown,05999,*
2020,CA,California,Alameda,06001,247914
2020,CA,California,Alpine,06003,265
2020,CA,California,Amador,06005,11759
2020,CA,California,Butte,06007,45906
2020,CA,California,Calaveras,06009,13387
2020,CA,California,Colusa,06011,3794
2020,CA,California,"Contra Costa",06013,202617
2020,CA,California,"Del Norte",06015,6365
2020,CA,California,"El Dorado",06017,45874
2020,CA,California,Fresno,06019,145927
2020,CA,California,Glenn,06021,5759
2020,CA,California,Humboldt,06023,29518
2020,CA,California,Imperial,06025,32269
2020,CA,California,Inyo,06027,4550
2020,CA,California,Kern,06029,121006
2020,CA,California,Kings,06031,17934
2020,CA,California,Lake,06033,17325
2020,CA,California,Lassen,06035,5243
2020,CA,California,"Los Angeles",06037,1525035
2020,CA,California,Madera,06039,24931
