state_id,state_abbr,county_state_name,county_id,county_name,consumption (MWh),consumption (MWh),consumption (MWh)
1,AL,"Autauga County, AL",1001,Autauga County," 315,398 "," 128,186 "," 33,506 "
1,AL,"Baldwin County, AL",1003,Baldwin County," 1,064,843 "," 1,122,222 "," 389,609 "
1,AL,"Barbour County, AL",1005,Barbour County," 136,098 "," 87,199 "," 334,420 "
1,AL,"Bibb County, AL",1007,Bibb County," 117,401 "," 44,056 "," 11,471 "
1,AL,"Blount County, AL",1009,Blount County," 328,466 "," 123,154 "," 129,611 "
1,AL,"Bullock County, AL",1011,Bullock County," 53,059 "," 18,976 "," 56,343 "
1,AL,"Butler County, AL",1013,Butler County," 117,812 "," 75,713 "," 65,106 "
1,AL,"Calhoun County, AL",1015,Calhoun County," 648,757 "," 539,145 "," 610,312 "
1,AL,"Chambers County, AL",1017,Chambers County," 207,888 "," 125,283 "," 172,442 "
1,AL,"Cherokee County, AL",1019,Cherokee County," 162,897 "," 75,847 "," 307,649 "
1,AL,"Chilton County, AL",1021,Chilton County," 265,901 "," 103,161 "," 62,094 "
1,AL,"Choctaw County, AL",1023,Choctaw County," 84,560 "," 34,566 "," 29,610 "
1,AL,"Clarke County, AL",1025,Clarke County," 143,136 "," 90,186 "," 105,690 "
1,AL,"Clay County, AL",1027,Clay County," 80,064 "," 28,316 "," 222,069 "
1,AL,"Cleburne County, AL",1029,Cleburne County," 86,909 "," 25,472 "," 40,246 "
1,AL,"Coffee County, AL",1031,Coffee County," 304,293 "," 168,078 "," 233,129 "
1,AL,"Colbert County, AL",1033,Colbert County," 344,526 "," 409,476 "," 882,642 "
1,AL,"Conecuh County, AL",1035,Conecuh County," 74,379 "," 29,795 "," 82,410 "
1,AL,"Coosa County, AL",1037,Coosa County," 64,136 "," 15,854 "," 16,230 "
1,AL,"Covington County, AL",1039,Covington County," 209,762 "," 117,544 "," 746,851 "
1,AL,"Crenshaw County, AL",1041,Crenshaw County," 76,217 "," 24,504 "," 43,719 "
1,AL,"Cullman County, AL",1043,Cullman County," 489,423 "," 398,736 "," 630,151 "
1,AL,"Dale County, AL",1045,Dale County," 284,461 "," 134,170 "," 45,370 "
1,AL,"Dallas County, AL",1047,Dallas County," 235,731 "," 157,387 "," 240,398 "
1,AL,"DeKalb County, AL",1049,DeKalb County," 358,945 "," 286,009 "," 440,418 "
1,AL,"Elmore County, AL",1051,Elmore County," 450,258 "," 225,316 "," 120,651 "
1,AL,"Escambia County, AL",1053,Escambia County," 211,270 "," 150,254 "," 338,962 "
1,AL,"Etowah County, AL",1055,Etowah County," 566,897 "," 407,684 "," 583,517 "
1,AL,"Fayette County, AL",1057,Fayette County," 104,504 "," 42,252 "," 133,556 "
1,AL,"Franklin County, AL",1059,Franklin County," 168,207 "," 219,480 "," 246,756 "
1,AL,"Geneva County, AL",1061,Geneva County," 171,557 "," 58,075 "," 71,850 "
1,AL,"Greene County, AL",1063,Greene County," 47,521 "," 17,463 "," 10,029 "
1,AL,"Hale County, AL",1065,Hale County," 94,024 "," 29,500 "," 204,505 "
1,AL,"Henry County, AL",1067,Henry County," 108,727 "," 35,162 "," 32,197 "
1,AL,"Houston County, AL",1069,Houston County," 602,675 "," 600,750 "," 672,549 "
1,AL,"Jackson County, AL",1071,Jackson County," 292,690 "," 292,305 "," 815,874 "
1,AL,"Jefferson County, AL",1073,Jefferson County," 3,562,272 "," 4,842,168 "," 3,518,732 "
1,AL,"Lamar County, AL",1075,Lamar County," 86,619 "," 36,403 "," 56,282 "
1,AL,"Lauderdale County, AL",1077,Lauderdale County," 606,098 "," 452,004 "," 174,561 "
1,AL,"Lawrence County, AL",1079,Lawrence County," 222,687 "," 78,750 "," 80,523 "
1,AL,"Lee County, AL",1081,Lee County," 783,577 "," 494,746 "," 383,226 "
1,AL,"Limestone County, AL",1083,Limestone County," 532,880 "," 376,746 "," 466,706 "
1,AL,"Lowndes County, AL",1085,Lowndes County," 63,789 "," 24,399 "," 197,067 "
1,AL,"Macon County, AL",1087,Macon County," 104,930 "," 35,195 "," 19,239 "
1,AL,"Madison County, AL",1089,Madison County," 2,189,561 "," 2,166,169 "," 1,199,531 "
1,AL,"Marengo County, AL",1091,Marengo County," 128,416 "," 72,096 "," 311,265 "
1,AL,"Marion County, AL",1093,Marion County," 183,618 "," 93,690 "," 306,977 "
1,AL,"Marshall County, AL",1095,Marshall County," 516,744 "," 506,241 "," 720,627 "
