"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",,"Distance to Parks"
"01","Alabama","01001","Autauga","2020","28,510","",,"Distance to Parks: 1 Mile"
"01","Alabama","01003","Baldwin","2020","76,400","",,"Distance to Parks: 1 Mile"
"01","Alabama","01005","Barbour","2020","7,546","",,"Distance to Parks: 1 Mile"
"01","Alabama","01007","Bibb","2020","8,536","",,"Distance to Parks: 1 Mile"
"01","Alabama","01009","Blount","2020","2,831","",,"Distance to Parks: 1 Mile"
"01","Alabama","01011","Bullock","2020","211","",,"Distance to Parks: 1 Mile"
"01","Alabama","01013","Butler","2020","2,048","",,"Distance to Parks: 1 Mile"
"01","Alabama","01015","Calhoun","2020","61,463","",,"Distance to Parks: 1 Mile"
"01","Alabama","01017","Chambers","2020","7,324","",,"Distance to Parks: 1 Mile"
"01","Alabama","01019","Cherokee","2020","3,928","",,"Distance to Parks: 1 Mile"
"01","Alabama","01021","Chilton","2020","4,721","",,"Distance to Parks: 1 Mile"
"01","Alabama","01023","Choctaw","2020","89","",,"Distance to Parks: 1 Mile"
"01","Alabama","01025","Clarke","2020","1,837","",,"Distance to Parks: 1 Mile"
"01","Alabama","01027","Clay","2020","6,199","",,"Distance to Parks: 1 Mile"
"01","Alabama","01029","Cleburne","2020","6,629","",,"Distance to Parks: 1 Mile"
"01","Alabama","01031","Coffee","2020","7,733","",,"Distance to Parks: 1 Mile"
"01","Alabama","01033","Colbert","2020","23,545","",,"Distance to Parks: 1 Mile"
"01","Alabama","01035","Conecuh","2020","140","",,"Distance to Parks: 1 Mile"
"01","Alabama","01037","Coosa","2020","335","",,"Distance to Parks: 1 Mile"
"01","Alabama","01039","Covington","2020","10,536","",,"Distance to Parks: 1 Mile"
"01","Alabama","01041","Crenshaw","2020","110","",,"Distance to Parks: 1 Mile"
"01","Alabama","01043","Cullman","2020","14,207","",,"Distance to Parks: 1 Mile"
"01","Alabama","01045","Dale","2020","7,332","",,"Distance to Parks: 1 Mile"
"01","Alabama","01047","Dallas","2020","20,138","",,"Distance to Parks: 1 Mile"
"01","Alabama","01049","DeKalb","2020","13,482","",,"Distance to Parks: 1 Mile"
"01","Alabama","01051","Elmore","2020","14,362","",,"Distance to Parks: 1 Mile"
"01","Alabama","01053","Escambia","2020","5,796","",,"Distance to Parks: 1 Mile"
"01","Alabama","01055","Etowah","2020","44,045","",,"Distance to Parks: 1 Mile"
"01","Alabama","01057","Fayette","2020","376","",,"Distance to Parks: 1 Mile"
"01","Alabama","01059","Franklin","2020","4,714","",,"Distance to Parks: 1 Mile"
"01","Alabama","01061","Geneva","2020","1,887","",,"Distance to Parks: 1 Mile"
"01","Alabama","01063","Greene","2020","71","",,"Distance to Parks: 1 Mile"
"01","Alabama","01065","Hale","2020","3,036","",,"Distance to Parks: 1 Mile"
"01","Alabama","01067","Henry","2020","1,417","",,"Distance to Parks: 1 Mile"
"01","Alabama","01069","Houston","2020","39,164","",,"Distance to Parks: 1 Mile"
"01","Alabama","01071","Jackson","2020","14,142","",,"Distance to Parks: 1 Mile"
"01","Alabama","01073","Jefferson","2020","439,005","",,"Distance to Parks: 1 Mile"
"01","Alabama","01075","Lamar","2020","0","",,"Distance to Parks: 1 Mile"
"01","Alabama","01077","Lauderdale","2020","39,846","",,"Distance to Parks: 1 Mile"
"01","Alabama","01079","Lawrence","2020","6,254","",,"Distance to Parks: 1 Mile"
"01","Alabama","01081","Lee","2020","65,054","",,"Distance to Parks: 1 Mile"
"01","Alabama","01083","Limestone","2020","20,357","",,"Distance to Parks: 1 Mile"
"01","Alabama","01085","Lowndes","2020","193","",,"Distance to Parks: 1 Mile"
"01","Alabama","01087","Macon","2020","7,268","",,"Distance to Parks: 1 Mile"
"01","Alabama","01089","Madison","2020","239,810","",,"Distance to Parks: 1 Mile"
"01","Alabama","01091","Marengo","2020","2,538","",,"Distance to Parks: 1 Mile"
"01","Alabama","01093","Marion","2020","349","",,"Distance to Parks: 1 Mile"
"01","Alabama","01095","Marshall","2020","18,373","",,"Distance to Parks: 1 Mile"
"01","Alabama","01097","Mobile","2020","246,749","",,"Distance to Parks: 1 Mile"
"01","Alabama","01099","Monroe","2020","3,762","",,"Distance to Parks: 1 Mile"
"01","Alabama","01101","Montgomery","2020","145,015","",,"Distance to Parks: 1 Mile"
"01","Alabama","01103","Morgan","2020","63,759","",,"Distance to Parks: 1 Mile"
"01","Alabama","01105","Perry","2020","849","",,"Distance to Parks: 1 Mile"
"01","Alabama","01107","Pickens","2020","45","",,"Distance to Parks: 1 Mile"
"01","Alabama","01109","Pike","2020","6,765","",,"Distance to Parks: 1 Mile"
"01","Alabama","01111","Randolph","2020","814","",,"Distance to Parks: 1 Mile"
"01","Alabama","01113","Russell","2020","30,871","",,"Distance to Parks: 1 Mile"
"01","Alabama","01117","Shelby","2020","108,874","",,"Distance to Parks: 1 Mile"
"01","Alabama","01115","St. Clair","2020","7,706","",,"Distance to Parks: 1 Mile"
"01","Alabama","01119","Sumter","2020","22","",,"Distance to Parks: 1 Mile"
"01","Alabama","01121","Talladega","2020","34,694","",,"Distance to Parks: 1 Mile"
"01","Alabama","01123","Tallapoosa","2020","3,868","",,"Distance to Parks: 1 Mile"
"01","Alabama","01125","Tuscaloosa","2020","102,508","",,"Distance to Parks: 1 Mile"
"01","Alabama","01127","Walker","2020","6,951","",,"Distance to Parks: 1 Mile"
"01","Alabama","01129","Washington","2020","6","",,"Distance to Parks: 1 Mile"
"01","Alabama","01131","Wilcox","2020","2,550","",,"Distance to Parks: 1 Mile"
"01","Alabama","01133","Winston","2020","15,337","",,"Distance to Parks: 1 Mile"
"02","Alaska","02013","Aleutians East","2020","2,019","",,"Distance to Parks: 1 Mile"
"02","Alaska","02016","Aleutians West","2020","402","",,"Distance to Parks: 1 Mile"
"02","Alaska","02020","Anchorage","2020","278,615","",,"Distance to Parks: 1 Mile"
"02","Alaska","02050","Bethel","2020","17,064","",,"Distance to Parks: 1 Mile"
"02","Alaska","02060","Bristol Bay","2020","344","",,"Distance to Parks: 1 Mile"
"02","Alaska","02063","Chugach","2020","5,858","",,"Distance to Parks: 1 Mile"
