StateFIPS,State,CountyFIPS,County,Year,Value,Data Comment
01,Alabama,01001,Autauga,2020,14.44,
01,Alabama,01003,Baldwin,2020,16.56,
01,Alabama,01005,Barbour,2020,29.39,
01,Alabama,01007,Bibb,2020,15.75,
01,Alabama,01009,Blount,2020,4.23,
01,Alabama,01011,Bullock,2020,59.17,
01,Alabama,01013,Butler,2020,37.81,
01,Alabama,01015,Calhoun,2020,41.8,
01,Alabama,01017,Chambers,2020,33.16,
01,Alabama,01019,Cherokee,2020,24.04,
01,Alabama,01021,Chilton,2020,6.66,
01,Alabama,01023,Choctaw,2020,19.81,
01,Alabama,01025,Clarke,2020,36.96,
01,Alabama,01027,Clay,2020,31.71,
01,Alabama,01029,Cleburne,2020,No Counts,
01,Alabama,01031,Coffee,2020,24.46,
01,Alabama,01033,Colbert,2020,66.92,
01,Alabama,01035,Conecuh,2020,50.21,
01,Alabama,01037,Coosa,2020,No Counts,
01,Alabama,01039,Covington,2020,49.91,
01,Alabama,01041,Crenshaw,2020,70.68,
01,Alabama,01043,Cullman,2020,21.01,
01,Alabama,01045,Dale,2020,18.08,
01,Alabama,01047,Dallas,2020,45.82,
01,Alabama,01049,DeKalb,2020,18.71,
01,Alabama,01051,Elmore,2020,15.66,
01,Alabama,01053,Escambia,2020,38.73,
01,Alabama,01055,Etowah,2020,71.47,
01,Alabama,01057,Fayette,2020,37.41,
01,Alabama,01059,Franklin,2020,38.99,
01,Alabama,01061,Geneva,2020,31.12,
01,Alabama,01063,Greene,2020,25.96,
01,Alabama,01065,Hale,2020,26.37,
01,Alabama,01067,Henry,2020,No Counts,
01,Alabama,01069,Houston,2020,73.7,
01,Alabama,01071,Jackson,2020,32.37,
01,Alabama,01073,Jefferson,2020,70.81,
01,Alabama,01075,Lamar,2020,No Counts,
01,Alabama,01077,Lauderdale,2020,28.1,
01,Alabama,01079,Lawrence,2020,29.64,
01,Alabama,01081,Lee,2020,17.98,
01,Alabama,01083,Limestone,2020,9.78,
01,Alabama,01085,Lowndes,2020,No Counts,
01,Alabama,01087,Macon,2020,73.42,
01,Alabama,01089,Madison,2020,31.85,
01,Alabama,01091,Marengo,2020,51.39,
01,Alabama,01093,Marion,2020,40.97,
01,Alabama,01095,Marshall,2020,15.37,
01,Alabama,01097,Mobile,2020,46.59,
01,Alabama,01099,Monroe,2020,47.66,
01,Alabama,01101,Montgomery,2020,52.7,
01,Alabama,01103,Morgan,2020,22.13,
01,Alabama,01105,Perry,2020,No Counts,
01,Alabama,01107,Pickens,2020,No Counts,
01,Alabama,01109,Pike,2020,29.41,
01,Alabama,01111,Randolph,2020,6.83,
01,Alabama,01113,Russell,2020,21.61,
01,Alabama,01117,Shelby,2020,12.78,
01,Alabama,01115,St. Clair,2020,4.38,
01,Alabama,01119,Sumter,2020,26.84,
01,Alabama,01121,Talladega,2020,35.34,
01,Alabama,01123,Tallapoosa,2020,30.8,
01,Alabama,01125,Tuscaloosa,2020,48.38,
01,Alabama,01127,Walker,2020,41.01,
01,Alabama,01129,Washington,2020,16.34,
01,Alabama,01131,Wilcox,2020,28.52,
01,Alabama,01133,Winston,2020,20.86,
02,Alaska,02013,Aleutians East,2020,No Counts,
02,Alaska,02016,Aleutians West,2020,No Counts,
02,Alaska,02020,Anchorage,2020,39.64,
02,Alaska,02050,Bethel,2020,26.81,
02,Alaska,02060,Bristol Bay,2020,No Counts,
02,Alaska,02063,Chugach,2020,No Counts,
02,Alaska,02066,Copper River,2020,No Counts,
