State FIPS Code,County FIPS Code,Postal Code,Name,Median Household Income,90% CI Lower Bound,90% CI Upper Bound
00,000,US,United States,"67,340","67,251","67,429"
01,000,AL,Alabama,"53,958","53,013","54,903"
01,001,AL,Autauga County,"67,565","59,132","75,998"
01,003,AL,Baldwin County,"71,135","66,540","75,730"
01,005,AL,Barbour County,"38,866","33,510","44,222"
01,007,AL,Bibb County,"50,907","43,627","58,187"
01,009,AL,Blount County,"55,203","47,820","62,586"
01,011,AL,Bullock County,"33,124","27,881","38,367"
01,013,AL,Butler County,"42,268","36,478","48,058"
01,015,AL,Calhoun County,"50,259","45,055","55,463"
01,017,AL,Chambers County,"39,318","37,495","41,141"
01,019,AL,Cherokee County,"50,388","43,387","57,389"
01,021,AL,Chilton County,"52,693","45,063","60,323"
01,023,AL,Choctaw County,"41,649","35,328","47,970"
01,025,AL,Clarke County,"44,178","37,403","50,953"
01,027,AL,Clay County,"44,763","38,531","50,995"
01,029,AL,Cleburne County,"50,134","42,392","57,876"
01,031,AL,Coffee County,"54,203","47,980","60,426"
01,033,AL,Colbert County,"54,185","49,363","59,007"
01,035,AL,Conecuh County,"34,664","29,757","39,571"
01,037,AL,Coosa County,"46,509","40,042","52,976"
01,039,AL,Covington County,"43,544","38,199","48,889"
01,041,AL,Crenshaw County,"45,927","40,682","51,172"
01,043,AL,Cullman County,"51,844","46,533","57,155"
01,045,AL,Dale County,"48,493","42,963","54,023"
01,047,AL,Dallas County,"37,679","32,681","42,677"
01,049,AL,DeKalb County,"47,156","44,737","49,575"
01,051,AL,Elmore County,"62,524","57,926","67,122"
01,053,AL,Escambia County,"41,212","35,622","46,802"
01,055,AL,Etowah County,"47,872","43,311","52,433"
01,057,AL,Fayette County,"45,937","40,131","51,743"
01,059,AL,Franklin County,"40,448","35,402","45,494"
01,061,AL,Geneva County,"39,882","35,957","43,807"
01,063,AL,Greene County,"33,609","28,584","38,634"
01,065,AL,Hale County,"41,836","35,250","48,422"
01,067,AL,Henry County,"51,126","43,840","58,412"
01,069,AL,Houston County,"54,391","50,074","58,708"
01,071,AL,Jackson County,"46,606","41,594","51,618"
01,073,AL,Jefferson County,"57,802","55,683","59,921"
01,075,AL,Lamar County,"40,204","34,497","45,911"
01,077,AL,Lauderdale County,"52,293","47,008","57,578"
01,079,AL,Lawrence County,"48,924","42,121","55,727"
01,081,AL,Lee County,"58,963","51,807","66,119"
01,083,AL,Limestone County,"70,850","65,531","76,169"
01,085,AL,Lowndes County,"37,499","32,316","42,682"
01,087,AL,Macon County,"37,736","32,580","42,892"
01,089,AL,Madison County,"67,810","63,344","72,276"
01,091,AL,Marengo County,"43,198","37,785","48,611"
01,093,AL,Marion County,"44,333","38,386","50,280"
01,095,AL,Marshall County,"51,417","46,158","56,676"
01,097,AL,Mobile County,"50,871","48,779","52,963"
01,099,AL,Monroe County,"38,812","33,086","44,538"
01,101,AL,Montgomery County,"49,607","46,454","52,760"
01,103,AL,Morgan County,"55,688","50,240","61,136"
01,105,AL,Perry County,"33,712","28,959","38,465"
01,107,AL,Pickens County,"41,870","35,716","48,024"
01,109,AL,Pike County,"43,141","36,314","49,968"
01,111,AL,Randolph County,"46,679","40,659","52,699"
01,113,AL,Russell County,"40,821","37,871","43,771"
01,115,AL,St. Clair County,"61,973","55,383","68,563"
01,117,AL,Shelby County,"88,444","81,587","95,301"
01,119,AL,Sumter County,"32,275","27,379","37,171"
01,121,AL,Talladega County,"44,802","39,131","50,473"
01,123,AL,Tallapoosa County,"46,654","42,363","50,945"
01,125,AL,Tuscaloosa County,"56,610","53,008","60,212"
01,127,AL,Walker County,"46,519","40,910","52,128"
01,129,AL,Washington County,"36,346","30,086","42,606"
01,131,AL,Wilcox County,"31,909","27,280","36,538"
01,133,AL,Winston County,"46,453","42,177","50,729"
02,000,AK,Alaska,"79,961","77,531","82,391"
02,013,AK,Aleutians East Borough,"79,128","66,769","91,487"
02,016,AK,Aleutians West Census Area,"92,216","79,957","104,475"
02,020,AK,Anchorage Borough,"84,577","79,491","89,663"
02,050,AK,Bethel Census Area,"52,214","45,292","59,136"
02,060,AK,Bristol Bay Borough,"87,032","75,981","98,083"
02,063,AK,Chugach Census Area,"84,063","73,958","94,168"
02,066,AK,Copper River Census Area,"61,215","52,497","69,933"
02,068,AK,Denali Borough,"80,192","67,624","92,760"
02,070,AK,Dillingham Census Area,"72,334","65,411","79,257"
02,090,AK,Fairbanks North Star Borough,"76,650","69,899","83,401"
02,100,AK,Haines Borough,"105,044","99,967","110,121"
02,105,AK,Hoonah-Angoon Census Area,"55,593","47,175","64,011"
02,110,AK,Juneau Borough,"89,204","80,180","98,228"
02,122,AK,Kenai Peninsula Borough,"68,448","63,523","73,373"
02,130,AK,Ketchikan Gateway Borough,"76,780","68,405","85,155"
02,150,AK,Kodiak Island Borough,"72,028","61,290","82,766"
02,158,AK,Kusilvak Census Area,"37,566","31,838","43,294"
02,164,AK,Lake and Peninsula Borough,"54,386","46,725","62,047"
02,170,AK,Matanuska-Susitna Borough,"89,502","84,166","94,838"
02,180,AK,Nome Census Area,"64,309","56,494","72,124"
02,185,AK,North Slope Borough,"94,759","80,393","109,125"
02,188,AK,Northwest Arctic Borough,"65,194","56,346","74,042"
02,195,AK,Petersburg Borough,"66,096","56,632","75,560"
02,198,AK,Prince of Wales-Hyder Census Area,"53,638","46,419","60,857"
02,220,AK,Sitka Borough,"79,363","68,877","89,849"
02,230,AK,Skagway Municipality,"78,421","67,334","89,508"
02,240,AK,Southeast Fairbanks Census Area,"64,544","54,631","74,457"
02,275,AK,Wrangell City and Borough,"64,643","55,079","74,207"
02,282,AK,Yakutat Borough,"68,352","58,058","78,646"
02,290,AK,Yukon-Koyukuk Census Area,"43,060","36,995","49,125"
04,000,AZ,Arizona,"64,652","63,735","65,569"
04,001,AZ,Apache County,"36,319","31,086","41,552"
04,003,AZ,Cochise County,"51,171","46,152","56,190"
04,005,AZ,Coconino County,"57,146","52,401","61,891"
04,007,AZ,Gila County,"49,280","44,063","54,497"
04,009,AZ,Graham County,"55,419","49,278","61,560"
04,011,AZ,Greenlee County,"67,530","61,159","73,901"
04,012,AZ,La Paz County,"41,637","35,556","47,718"
04,013,AZ,Maricopa County,"71,799","70,604","72,994"
04,015,AZ,Mohave County,"46,678","42,143","51,213"
04,017,AZ,Navajo County,"46,698","43,830","49,566"
04,019,AZ,Pima County,"56,551","53,790","59,312"
04,021,AZ,Pinal County,"66,992","64,199","69,785"
04,023,AZ,Santa Cruz County,"44,402","38,686","50,118"
04,025,AZ,Yavapai County,"58,860","53,700","64,020"
04,027,AZ,Yuma County,"54,278","50,727","57,829"
05,000,AR,Arkansas,"51,146","49,750","52,542"
05,001,AR,Arkansas County,"51,186","45,052","57,320"
05,003,AR,Ashley County,"44,677","37,879","51,475"
05,005,AR,Baxter County,"44,833","39,093","50,573"
05,007,AR,Benton County,"78,678","73,951","83,405"
05,009,AR,Boone County,"48,153","42,341","53,965"
05,011,AR,Bradley County,"41,578","35,203","47,953"
05,013,AR,Calhoun County,"50,865","46,631","55,099"
05,015,AR,Carroll County,"45,397","38,500","52,294"
05,017,AR,Chicot County,"35,992","30,766","41,218"
05,019,AR,Clark County,"46,464","39,282","53,646"
05,021,AR,Clay County,"43,723","41,430","46,016"
05,023,AR,Cleburne County,"49,964","45,861","54,067"
05,025,AR,Cleveland County,"57,697","53,229","62,165"
05,027,AR,Columbia County,"44,925","38,302","51,548"
05,029,AR,Conway County,"47,049","39,842","54,256"
05,031,AR,Craighead County,"51,797","46,125","57,469"
05,033,AR,Crawford County,"54,534","49,511","59,557"
05,035,AR,Crittenden County,"47,545","42,014","53,076"
05,037,AR,Cross County,"40,587","36,047","45,127"
05,039,AR,Dallas County,"34,649","30,362","38,936"
05,041,AR,Desha County,"37,421","31,841","43,001"
05,043,AR,Drew County,"46,787","39,575","53,999"
05,045,AR,Faulkner County,"57,367","51,243","63,491"
05,047,AR,Franklin County,"47,256","40,250","54,262"
05,049,AR,Fulton County,"39,839","34,170","45,508"
05,051,AR,Garland County,"46,459","42,441","50,477"
05,053,AR,Grant County,"62,077","54,165","69,989"
05,055,AR,Greene County,"53,821","48,202","59,440"
05,057,AR,Hempstead County,"42,790","36,929","48,651"
05,059,AR,Hot Spring County,"49,582","42,926","56,238"
05,061,AR,Howard County,"40,566","34,527","46,605"
05,063,AR,Independence County,"50,834","44,992","56,676"
05,065,AR,Izard County,"41,787","37,501","46,073"
05,067,AR,Jackson County,"40,789","35,376","46,202"
05,069,AR,Jefferson County,"40,588","35,999","45,177"
05,071,AR,Johnson County,"39,439","33,625","45,253"
05,073,AR,Lafayette County,"40,007","34,041","45,973"
05,075,AR,Lawrence County,"41,188","34,902","47,474"
05,077,AR,Lee County,"32,502","27,591","37,413"
05,079,AR,Lincoln County,"47,903","43,306","52,500"
05,081,AR,Little River County,"47,125","40,250","54,000"
05,083,AR,Logan County,"43,577","38,891","48,263"
05,085,AR,Lonoke County,"59,623","51,892","67,354"
05,087,AR,Madison County,"45,144","38,483","51,805"
05,089,AR,Marion County,"39,888","33,902","45,874"
05,091,AR,Miller County,"43,634","37,882","49,386"
05,093,AR,Mississippi County,"47,892","43,035","52,749"
05,095,AR,Monroe County,"35,833","30,737","40,929"
05,097,AR,Montgomery County,"42,751","36,345","49,157"
05,099,AR,Nevada County,"41,854","35,562","48,146"
05,101,AR,Newton County,"40,698","34,593","46,803"
05,103,AR,Ouachita County,"46,374","39,957","52,791"
05,105,AR,Perry County,"46,317","39,204","53,430"
05,107,AR,Phillips County,"35,167","30,578","39,756"
05,109,AR,Pike County,"43,133","37,309","48,957"
05,111,AR,Poinsett County,"36,150","33,526","38,774"
05,113,AR,Polk County,"42,915","37,088","48,742"
05,115,AR,Pope County,"46,350","42,524","50,176"
05,117,AR,Prairie County,"48,478","41,755","55,201"
05,119,AR,Pulaski County,"56,171","51,506","60,836"
05,121,AR,Randolph County,"46,495","40,564","52,426"
05,123,AR,St. Francis County,"37,759","32,031","43,487"
05,125,AR,Saline County,"70,550","63,567","77,533"
05,127,AR,Scott County,"41,230","35,362","47,098"
05,129,AR,Searcy County,"33,814","28,482","39,146"
05,131,AR,Sebastian County,"48,627","43,472","53,782"
05,133,AR,Sevier County,"45,838","38,938","52,738"
05,135,AR,Sharp County,"40,437","34,872","46,002"
05,137,AR,Stone County,"36,148","31,982","40,314"
05,139,AR,Union County,"47,857","41,145","54,569"
05,141,AR,Van Buren County,"42,345","36,799","47,891"
05,143,AR,Washington County,"57,712","53,663","61,761"
05,145,AR,White County,"43,765","38,993","48,537"
05,147,AR,Woodruff County,"37,634","31,890","43,378"
05,149,AR,Yell County,"48,728","42,845","54,611"
06,000,CA,California,"83,001","82,422","83,580"
06,001,CA,Alameda County,"113,518","110,514","116,522"
06,003,CA,Alpine County,"64,542","55,068","74,016"
06,005,CA,Amador County,"68,141","59,644","76,638"
06,007,CA,Butte County,"54,718","49,240","60,196"
06,009,CA,Calaveras County,"66,329","56,704","75,954"
06,011,CA,Colusa County,"59,422","50,617","68,227"
06,013,CA,Contra Costa County,"106,484","103,471","109,497"
06,015,CA,Del Norte County,"47,442","40,788","54,096"
06,017,CA,El Dorado County,"87,792","80,935","94,649"
06,019,CA,Fresno County,"61,401","58,250","64,552"
06,021,CA,Glenn County,"57,779","50,629","64,929"
06,023,CA,Humboldt County,"56,071","49,772","62,370"
06,025,CA,Imperial County,"47,599","42,136","53,062"
06,027,CA,Inyo County,"55,981","53,715","58,247"
06,029,CA,Kern County,"58,583","56,047","61,119"
06,031,CA,Kings County,"60,319","55,133","65,505"
06,033,CA,Lake County,"52,345","47,660","57,030"
06,035,CA,Lassen County,"63,803","58,448","69,158"
06,037,CA,Los Angeles County,"75,624","74,530","76,718"
06,039,CA,Madera County,"68,744","63,890","73,598"
06,041,CA,Marin County,"127,601","117,084","138,118"
06,043,CA,Mariposa County,"56,887","48,826","64,948"
06,045,CA,Mendocino County,"53,176","49,087","57,265"
06,047,CA,Merced County,"58,998","56,008","61,988"
06,049,CA,Modoc County,"46,838","39,978","53,698"
06,051,CA,Mono County,"73,204","62,317","84,091"
06,053,CA,Monterey County,"85,031","82,688","87,374"
06,055,CA,Napa County,"92,149","84,782","99,516"
06,057,CA,Nevada County,"74,158","67,572","80,744"
06,059,CA,Orange County,"98,786","96,741","100,831"
06,061,CA,Placer County,"100,662","97,325","103,999"
06,063,CA,Plumas County,"58,489","49,685","67,293"
06,065,CA,Riverside County,"76,409","74,941","77,877"
06,067,CA,Sacramento County,"72,953","70,697","75,209"
06,069,CA,San Benito County,"91,185","80,560","101,810"
06,071,CA,San Bernardino County,"65,984","64,216","67,752"
06,073,CA,San Diego County,"87,126","85,053","89,199"
06,075,CA,San Francisco County,"121,722","115,147","128,297"
06,077,CA,San Joaquin County,"70,685","67,939","73,431"
06,079,CA,San Luis Obispo County,"79,455","74,306","84,604"
06,081,CA,San Mateo County,"132,369","126,609","138,129"
06,083,CA,Santa Barbara County,"86,136","84,194","88,078"
06,085,CA,Santa Clara County,"139,462","136,115","142,809"
06,087,CA,Santa Cruz County,"93,015","85,118","100,912"
06,089,CA,Shasta County,"59,108","54,365","63,851"
06,091,CA,Sierra County,"59,422","50,319","68,525"
06,093,CA,Siskiyou County,"49,441","44,615","54,267"
06,095,CA,Solano County,"83,678","79,211","88,145"
06,097,CA,Sonoma County,"87,366","83,912","90,820"
06,099,CA,Stanislaus County,"64,501","62,417","66,585"
06,101,CA,Sutter County,"65,791","59,278","72,304"
