,FIPS,COUNTY_NAME,STATE,UIC_NUMBER,UIC_GROUP,MEDICARE_ENROLL,POPESTIMATE,PHARMA_COUNT,ENERGY_RES,ENERGY_COM,ENERGY_IND,ENERGY_TTL,MEDICARE_RATE,RESIDENTIAL_RATE,MEDICARE_BIN,RESIDENTIAL_BIN,BIVARIATE_BIN
0,01001,Autauga County,AL,2,Metro,11251,58805,6,315398.0,128186.0,33506.0,477090.0,0.191327,0.661087,A,C,AC
1,01003,Baldwin County,AL,2,Metro,55766,231767,35,1064843.0,1122222.0,389609.0,2576674.0,0.240612,0.413263,B,C,BC
2,01005,Barbour County,AL,6,Nonmetro,6192,25223,3,136098.0,87199.0,334420.0,557717.0,0.24549,0.244027,B,B,BB
3,01007,Bibb County,AL,1,Metro,4736,22293,4,117401.0,44056.0,11471.0,172928.0,0.212443,0.678901,B,C,BC
4,01009,Blount County,AL,1,Metro,13184,59134,7,328466.0,123154.0,129611.0,581231.0,0.222951,0.565121,B,C,BC
5,01011,Bullock County,AL,6,Nonmetro,2296,10357,2,53059.0,18976.0,56343.0,128378.0,0.221686,0.413303,B,C,BC
6,01013,Butler County,AL,6,Nonmetro,4966,19051,3,117812.0,75713.0,65106.0,258631.0,0.260669,0.455522,C,C,CC
7,01015,Calhoun County,AL,2,Metro,26999,116441,21,648757.0,539145.0,610312.0,1798214.0,0.231868,0.360779,B,C,BC
8,01017,Chambers County,AL,5,Nonmetro,8833,34772,6,207888.0,125283.0,172442.0,505613.0,0.254026,0.41116,C,C,CC
9,01019,Cherokee County,AL,6,Nonmetro,7364,24971,4,162897.0,75847.0,307649.0,546393.0,0.294902,0.298132,C,C,CC
10,01021,Chilton County,AL,1,Metro,9668,45014,5,265901.0,103161.0,62094.0,431156.0,0.214778,0.616716,B,C,BC
11,01023,Choctaw County,AL,10,Nonmetro,3820,12665,Data Not Collected,84560.0,34566.0,29610.0,148736.0,0.301619,0.568524,C,C,CC
12,01025,Clarke County,AL,11,Nonmetro,6423,23087,5,143136.0,90186.0,105690.0,339012.0,0.278209,0.422215,C,C,CC
13,01027,Clay County,AL,10,Nonmetro,3680,14236,3,80064.0,28316.0,222069.0,330449.0,0.2585,0.242289,C,B,CB
14,01029,Cleburne County,AL,4,Nonmetro,3542,15056,2,86909.0,25472.0,40246.0,152627.0,0.235255,0.569421,B,C,BC
15,01031,Coffee County,AL,5,Nonmetro,10924,53465,5,304293.0,168078.0,233129.0,705500.0,0.204321,0.431315,A,C,AC
16,01033,Colbert County,AL,2,Metro,14156,57227,8,344526.0,409476.0,882642.0,1636644.0,0.247366,0.210508,B,B,BB
17,01035,Conecuh County,AL,11,Nonmetro,3551,11597,1,74379.0,29795.0,82410.0,186584.0,0.3062,0.398635,C,C,CC
18,01037,Coosa County,AL,3,Nonmetro,3113,10387,Data Not Collected,64136.0,15854.0,16230.0,96220.0,0.299702,0.666556,C,C,CC
19,01039,Covington County,AL,6,Nonmetro,9958,37570,4,209762.0,117544.0,746851.0,1074157.0,0.265052,0.195281,C,A,CA
20,01041,Crenshaw County,AL,6,Nonmetro,3415,13194,Data Not Collected,76217.0,24504.0,43719.0,144440.0,0.25883,0.527672,C,C,CC
